Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1710252121681,12/03/2024 14:02:01,1710255721681,1,12/03/2024 16:02:01,143587,32,questionnaire-z45n,,36013434,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,Consent form Tromsø ,13,ASRT,,,,,5,,BEGIN,,,,,
2,1710252300044,12/03/2024 14:05:00,1710255900044,1,12/03/2024 16:05:00,143587,32,questionnaire-z45n,,36013434,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,Consent form Tromsø ,13,ASRT,Page 1,yobl1g,1,,continue,,,,,screen,0,screen
3,1710252300047,12/03/2024 14:05:00,1710255900047,1,12/03/2024 16:05:00,143587,32,questionnaire-z45n,,36013434,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,Consent form Tromsø ,13,ASRT,Page 1,yobl1g,1,"Vennligst les følgende samtykke, og kryss av i boksen hvis du ønsker å delta i studien.",action,consent_text-consent_box,1,,consent_text,Consent Form,13,object-2
4,1710252300048,12/03/2024 14:05:00,1710255900048,1,12/03/2024 16:05:00,143587,32,questionnaire-z45n,,36013434,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,Consent form Tromsø ,13,ASRT,Page 1,yobl1g,1,"Vennligst les følgende samtykke, og kryss av i boksen hvis du ønsker å delta i studien.",response,consent_text-consent_box,1,,consent_text,Consent Form,13,object-2
5,1710252300048,12/03/2024 14:05:00,1710255900048,1,12/03/2024 16:05:00,143587,32,questionnaire-z45n,,36013434,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,Consent form Tromsø ,13,ASRT,,,,,5,,END,,,,,
1,1711049125687,21/03/2024 19:25:25,1711052725687,1,21/03/2024 21:25:25,143587,32,questionnaire-z45n,,36321644,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,Consent form Tromsø ,13,Stroop ,,,,,5,,BEGIN,,,,,
2,1711049337064,21/03/2024 19:28:57,1711052937064,1,21/03/2024 21:28:57,143587,32,questionnaire-z45n,,36321644,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,Consent form Tromsø ,13,Stroop ,Page 1,yobl1g,1,,continue,,,,,screen,0,screen
3,1711049337068,21/03/2024 19:28:57,1711052937068,1,21/03/2024 21:28:57,143587,32,questionnaire-z45n,,36321644,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,Consent form Tromsø ,13,Stroop ,Page 1,yobl1g,1,"Vennligst les følgende samtykke, og kryss av i boksen hvis du ønsker å delta i studien.",action,consent_text-consent_box,1,,consent_text,Consent Form,13,object-2
4,1711049337069,21/03/2024 19:28:57,1711052937069,1,21/03/2024 21:28:57,143587,32,questionnaire-z45n,,36321644,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,Consent form Tromsø ,13,Stroop ,Page 1,yobl1g,1,"Vennligst les følgende samtykke, og kryss av i boksen hvis du ønsker å delta i studien.",response,consent_text-consent_box,1,,consent_text,Consent Form,13,object-2
5,1711049337069,21/03/2024 19:28:57,1711052937069,1,21/03/2024 21:28:57,143587,32,questionnaire-z45n,,36321644,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,Consent form Tromsø ,13,Stroop ,,,,,5,,END,,,,,
