Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,rt,stimulus,key_press,test_part,correct_response,trial_type,trial_index,time_elapsed,internal_node_id,correct,success,browser_events,view_history,grid,target,p_or_r,block,first_response,trial_number,sequence,is_practice,correct_pos,correct_resp_button,resp_button,cumulative_RT,actual_triplet,triplet_type
1,1708881695211,25/02/2024 17:21:35,1708881694850,1,25/02/2024 18:21:34,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,,,,,,fullscreen,0,147601,0.0-0.0,,1,"[{""event"":""fullscreenenter"",""trial"":0,""time"":146635}]",,,,,,,,,,,,,,,
2,1708881748082,25/02/2024 17:22:28,1708881748006,1,25/02/2024 18:22:28,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,53136.09999990463,,,,,instructions,1,200761,0.0-1.0,,,[],"[{""page_index"":0,""viewing_time"":30582.5},{""page_index"":1,""viewing_time"":22551.099999904633}]",,,,,,,,,,,,,,
3,1708881752850,25/02/2024 17:22:32,1708881752748,1,25/02/2024 18:22:32,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,4718.5,"<h2>Now a short practice will start.</h2>
        <p>Please place your fingers in this position on the keyboard:</p>
        <img src=/task/663873/37/asset/keyboard.bmp height='10%'>
        <p><strong>If you are ready, press <strong>any</strong> key to start a practice!</strong></p>",83,,,html-keyboard-response,2,205503,0.0-2.0,,,[],,,,,,,,,,,,,,,
4,1708881753496,25/02/2024 17:22:33,1708881753389,1,25/02/2024 18:22:33,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,607.5999999046326,,83,,,serial-reaction-time,3,206144,0.0-3.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,1,3412,1,1,s,s,607.5999999046326,1,X
5,1708881754365,25/02/2024 17:22:34,1708881754293,1,25/02/2024 18:22:34,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,375.59999990463257,,76,,,serial-reaction-time,4,207048,0.0-14.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,2,3412,1,4,l,l,375.59999990463257,14,X
6,1708881755424,25/02/2024 17:22:35,1708881755345,1,25/02/2024 18:22:35,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,526.7000002861023,,83,,,serial-reaction-time,5,208100,0.0-25.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,3,3412,1,1,s,s,526.7000002861023,141,X
7,1708881756472,25/02/2024 17:22:36,1708881756410,1,25/02/2024 18:22:36,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,537.7999997138977,,70,,,serial-reaction-time,6,209165,0.0-36.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,4,3412,1,2,f,f,537.7999997138977,412,X
8,1708881757363,25/02/2024 17:22:37,1708881757288,1,25/02/2024 18:22:37,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,352,,76,,,serial-reaction-time,7,210043,0.0-47.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,5,3412,1,4,l,l,352,124,X
9,1708881758515,25/02/2024 17:22:38,1708881758438,1,25/02/2024 18:22:38,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,626.4000000953674,,70,,,serial-reaction-time,8,211193,0.0-58.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,6,3412,1,2,f,f,626.4000000953674,242,X
10,1708881759557,25/02/2024 17:22:39,1708881759484,1,25/02/2024 18:22:39,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,520.1999998092651,,70,,,serial-reaction-time,9,212238,0.0-69.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,7,3412,1,2,f,f,520.1999998092651,422,X
