Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,rt,stimulus,key_press,test_part,correct_response,trial_type,trial_index,time_elapsed,internal_node_id,correct,success,browser_events,view_history,grid,target,p_or_r,block,first_response,trial_number,sequence,is_practice,correct_pos,correct_resp_button,resp_button,cumulative_RT,actual_triplet,triplet_type
1,1723462843518,12/08/2024 11:40:43,1723462845410,2,12/08/2024 13:40:45,143587,32,task-vmxp,,39514458,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1440,,,,Alternating Serial Reaction Time (ASRT) task,37,Stroop ,,,,,,fullscreen,0,15032,0.0-0.0,,1,"[{""event"":""focus"",""trial"":0,""time"":2814},{""event"":""fullscreenenter"",""trial"":0,""time"":14079}]",,,,,,,,,,,,,,,
2,1723462896099,12/08/2024 11:41:36,1723462898005,2,12/08/2024 13:41:38,143587,32,task-vmxp,,39514458,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1440,,,,Alternating Serial Reaction Time (ASRT) task,37,Stroop ,52565,,,,,instructions,1,67629,0.0-1.0,,,[],"[{""page_index"":0,""viewing_time"":30591},{""page_index"":1,""viewing_time"":21972.900000000373}]",,,,,,,,,,,,,,
3,1723462898574,12/08/2024 11:41:38,1723462900511,2,12/08/2024 13:41:40,143587,32,task-vmxp,,39514458,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1440,,,,Alternating Serial Reaction Time (ASRT) task,37,Stroop ,2492.0999999996275,"<h2>Now a short practice will start.</h2>
        <p>Please place your fingers in this position on the keyboard:</p>
        <img src=/task/663873/37/asset/keyboard.bmp height='10%'>
        <p><strong>If you are ready, press <strong>any</strong> key to start a practice!</strong></p>",83,,,html-keyboard-response,2,70135,0.0-2.0,,,[],,,,,,,,,,,,,,,
4,1723462899307,12/08/2024 11:41:39,1723462901213,2,12/08/2024 13:41:41,143587,32,task-vmxp,,39514458,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1440,,,,Alternating Serial Reaction Time (ASRT) task,37,Stroop ,677.6999999992549,,70,,,serial-reaction-time,3,70837,0.0-3.0-0.0,,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,1,2134,1,4,l,f,677.6999999992549,4,X
5,1723462899633,12/08/2024 11:41:39,1723462901564,2,12/08/2024 13:41:41,143587,32,task-vmxp,,39514458,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1440,,,,Alternating Serial Reaction Time (ASRT) task,37,Stroop ,339.5,,76,,,serial-reaction-time,4,71188,0.0-4.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,0,1,2134,1,4,l,l,1017.1999999992549,4,X
6,1723462900576,12/08/2024 11:41:40,1723462902526,2,12/08/2024 13:41:42,143587,32,task-vmxp,,39514458,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1440,,,,Alternating Serial Reaction Time (ASRT) task,37,Stroop ,446.5,,74,,,serial-reaction-time,5,72150,0.0-14.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,2,2134,1,3,j,j,446.5,43,X
7,1723462901547,12/08/2024 11:41:41,1723462903493,2,12/08/2024 13:41:43,143587,32,task-vmxp,,39514458,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1440,,,,Alternating Serial Reaction Time (ASRT) task,37,Stroop ,454.40000000037253,,76,,,serial-reaction-time,6,73117,0.0-25.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,3,2134,1,4,l,l,454.40000000037253,434,X
8,1723462902608,12/08/2024 11:41:42,1723462904535,2,12/08/2024 13:41:44,143587,32,task-vmxp,,39514458,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1440,,,,Alternating Serial Reaction Time (ASRT) task,37,Stroop ,512.4000000003725,,70,,,serial-reaction-time,7,74159,0.0-36.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,4,2134,1,2,f,f,512.4000000003725,342,X
9,1723462903495,12/08/2024 11:41:43,1723462905445,2,12/08/2024 13:41:45,143587,32,task-vmxp,,39514458,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1440,,,,Alternating Serial Reaction Time (ASRT) task,37,Stroop ,395.09999999962747,,76,,,serial-reaction-time,8,75069,0.0-47.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,5,2134,1,4,l,l,395.09999999962747,424,X
10,1723462904508,12/08/2024 11:41:44,1723462906460,2,12/08/2024 13:41:46,143587,32,task-vmxp,,39514458,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1440,,,,Alternating Serial Reaction Time (ASRT) task,37,Stroop ,503,,70,,,serial-reaction-time,9,76084,0.0-58.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,6,2134,1,2,f,f,503,242,X
